decision_id,timestamp,actor_type,actor_id,entity_type,entity_id,event_sequence,journey_type,journey_instance_id,journey_state
202,2022-03-05 21:00:32,customer,CUST_000031,,,446,shopping,inst_00030,browsing
205,2022-03-05 20:56:59,customer,CUST_000032,,,449,shopping,inst_00031,browsing
207,2022-03-05 20:59:59,customer,CUST_000032,,,451,shopping,inst_00031,browsing
209,2022-03-05 21:02:59,customer,CUST_000032,,,453,shopping,inst_00031,browsing
212,2022-03-05 17:12:08,customer,CUST_000033,,,456,shopping,inst_00032,browsing
216,2022-03-05 10:05:00,customer,CUST_000034,,,460,shopping,inst_00033,browsing
219,2022-03-05 10:08:00,customer,CUST_000034,,,463,shopping,inst_00033,browsing
222,2022-03-05 10:11:00,customer,CUST_000034,,,466,shopping,inst_00033,browsing
228,2022-03-05 19:57:31,customer,CUST_000036,,,472,shopping,inst_00035,browsing
231,2022-03-05 20:00:31,customer,CUST_000036,,,475,shopping,inst_00035,browsing
237,2022-03-06 21:31:33,customer,CUST_000037,,,483,shopping,inst_00036,considering
238,2022-03-06 21:36:33,customer,CUST_000037,,,484,shopping,inst_00036,checkout
248,2022-03-07 17:31:28,customer,CUST_000039,,,500,shopping,inst_00038,browsing
250,2022-03-07 17:34:28,customer,CUST_000039,,,502,shopping,inst_00038,browsing
252,2022-03-07 17:40:52,customer,CUST_000039,,,504,shopping,inst_00038,considering
257,2022-03-07 15:51:33,customer,CUST_000040,,,509,shopping,inst_00039,browsing
259,2022-03-07 15:54:33,customer,CUST_000040,,,511,shopping,inst_00039,browsing
264,2022-03-07 11:56:30,customer,CUST_000041,,,516,shopping,inst_00040,browsing
267,2022-03-07 12:02:25,customer,CUST_000041,,,519,shopping,inst_00040,browsing
269,2022-03-07 22:51:18,customer,CUST_000042,,,521,shopping,inst_00041,browsing
271,2022-03-07 22:54:18,customer,CUST_000042,,,523,shopping,inst_00041,browsing
276,2022-03-07 20:04:45,customer,CUST_000043,,,528,shopping,inst_00042,browsing
279,2022-03-07 20:07:45,customer,CUST_000043,,,531,shopping,inst_00042,browsing
282,2022-03-07 20:10:45,customer,CUST_000043,,,534,shopping,inst_00042,browsing
292,2022-03-08 13:56:22,customer,CUST_000045,,,548,shopping,inst_00044,browsing
293,2022-03-08 14:00:12,customer,CUST_000045,,,549,shopping,inst_00044,browsing
296,2022-03-08 14:03:12,customer,CUST_000045,,,552,shopping,inst_00044,browsing
298,2022-03-08 14:06:12,customer,CUST_000045,,,554,shopping,inst_00044,considering
301,2022-03-08 17:02:36,customer,CUST_000047,,,557,shopping,inst_00046,browsing
304,2022-03-08 17:05:36,customer,CUST_000047,,,560,shopping,inst_00046,browsing
307,2022-03-08 17:08:36,customer,CUST_000047,,,563,shopping,inst_00046,browsing
310,2022-03-08 17:12:41,customer,CUST_000047,,,566,shopping,inst_00046,browsing
312,2022-03-08 17:15:41,customer,CUST_000047,,,568,shopping,inst_00046,browsing
315,2022-03-08 17:18:41,customer,CUST_000047,,,571,shopping,inst_00046,browsing
318,2022-03-08 17:24:46,customer,CUST_000047,,,574,shopping,inst_00046,browsing
321,2022-03-08 17:27:46,customer,CUST_000047,,,577,shopping,inst_00046,browsing
325,2022-03-09 06:21:08,customer,CUST_000048,,,581,shopping,inst_00047,considering
327,2022-03-09 06:26:08,customer,CUST_000048,,,583,shopping,inst_00047,checkout
328,2022-03-09 06:28:08,customer,CUST_000048,,,584,shopping,inst_00047,purchased
337,2022-03-09 16:30:01,customer,CUST_000050,,,599,shopping,inst_00049,browsing
340,2022-03-09 16:34:11,customer,CUST_000050,,,602,shopping,inst_00049,browsing
341,2022-03-09 16:37:11,customer,CUST_000050,,,603,shopping,inst_00049,browsing
344,2022-03-09 16:52:35,customer,CUST_000050,,,606,shopping,inst_00049,considering
348,2022-03-09 16:57:35,customer,CUST_000050,,,610,shopping,inst_00049,checkout
350,2022-03-09 17:05:39,customer,CUST_000050,,,612,shopping,inst_00049,purchased
354,2022-03-09 11:54:25,customer,CUST_000051,,,616,shopping,inst_00050,browsing
358,2022-03-09 12:23:16,customer,CUST_000053,,,620,shopping,inst_00052,browsing
361,2022-03-09 12:26:16,customer,CUST_000053,,,623,shopping,inst_00052,browsing
366,2022-03-09 16:56:01,customer,CUST_000054,,,628,shopping,inst_00053,considering
374,2022-03-10 11:53:42,customer,CUST_000056,,,641,shopping,inst_00055,browsing
379,2022-03-10 19:03:13,customer,CUST_000057,,,646,shopping,inst_00056,browsing
380,2022-03-10 19:06:13,customer,CUST_000057,,,647,shopping,inst_00056,browsing
383,2022-03-10 14:49:22,customer,CUST_000058,,,650,shopping,inst_00057,browsing
385,2022-03-10 14:56:08,customer,CUST_000058,,,652,shopping,inst_00057,considering
389,2022-03-10 15:02:51,customer,CUST_000058,,,656,shopping,inst_00057,checkout
392,2022-03-10 15:04:51,customer,CUST_000058,,,660,shopping,inst_00057,purchased
406,2022-03-11 15:10:17,customer,CUST_000060,,,683,shopping,inst_00059,browsing
410,2022-03-11 10:17:11,customer,CUST_000061,,,687,shopping,inst_00060,browsing
412,2022-03-11 10:21:16,customer,CUST_000061,,,689,shopping,inst_00060,considering
417,2022-03-11 16:39:56,customer,CUST_000063,,,694,shopping,inst_00062,considering
421,2022-03-11 16:44:56,customer,CUST_000063,,,698,shopping,inst_00062,checkout
423,2022-03-11 19:42:18,customer,CUST_000064,,,700,shopping,inst_00063,considering
429,2022-03-11 16:05:54,customer,CUST_000066,,,706,shopping,inst_00065,browsing
432,2022-03-11 16:08:56,customer,CUST_000066,,,709,shopping,inst_00065,browsing
437,2022-03-11 06:23:13,customer,CUST_000067,,,714,shopping,inst_00066,browsing
438,2022-03-11 19:07:09,customer,CUST_000068,,,715,shopping,inst_00067,browsing
440,2022-03-11 19:10:09,customer,CUST_000068,,,717,shopping,inst_00067,browsing
442,2022-03-11 19:13:09,customer,CUST_000068,,,719,shopping,inst_00067,browsing
455,2022-03-12 07:59:12,customer,CUST_000069,,,741,shopping,inst_00068,considering
458,2022-03-12 22:24:39,customer,CUST_000071,,,744,shopping,inst_00070,browsing
461,2022-03-12 22:27:39,customer,CUST_000071,,,747,shopping,inst_00070,browsing
468,2022-03-12 22:35:05,customer,CUST_000073,,,754,shopping,inst_00072,browsing
470,2022-03-12 21:42:17,customer,CUST_000074,,,756,shopping,inst_00073,browsing
473,2022-03-12 21:49:53,customer,CUST_000074,,,759,shopping,inst_00073,considering
476,2022-03-12 09:49:41,customer,CUST_000075,,,762,shopping,inst_00074,browsing
482,2022-03-12 13:50:47,customer,CUST_000077,,,768,shopping,inst_00076,browsing
484,2022-03-12 13:53:47,customer,CUST_000077,,,770,shopping,inst_00076,browsing
496,2022-03-13 12:37:50,customer,CUST_000016,,,789,shopping,inst_00084,browsing
501,2022-03-13 13:14:49,customer,CUST_000079,,,794,shopping,inst_00078,considering
502,2022-03-13 19:06:09,customer,CUST_000080,,,795,shopping,inst_00079,browsing
504,2022-03-13 20:28:47,customer,CUST_000081,,,797,shopping,inst_00080,browsing
506,2022-03-13 20:31:47,customer,CUST_000081,,,799,shopping,inst_00080,browsing
508,2022-03-13 20:34:47,customer,CUST_000081,,,801,shopping,inst_00080,browsing
510,2022-03-13 20:37:47,customer,CUST_000081,,,803,shopping,inst_00080,browsing
514,2022-03-13 14:56:48,customer,CUST_000083,,,807,shopping,inst_00082,browsing
526,2022-03-14 17:27:40,customer,CUST_000085,,,824,shopping,inst_00085,browsing
528,2022-03-14 11:48:49,customer,CUST_000086,,,826,shopping,inst_00086,considering
530,2022-03-14 11:53:49,customer,CUST_000086,,,828,shopping,inst_00086,checkout
531,2022-03-14 12:00:12,customer,CUST_000086,,,829,shopping,inst_00086,purchased
536,2022-03-14 09:13:39,customer,CUST_000088,,,834,shopping,inst_00088,browsing
541,2022-03-14 14:40:18,customer,CUST_000089,,,839,shopping,inst_00089,browsing
543,2022-03-14 14:44:55,customer,CUST_000089,,,841,shopping,inst_00089,browsing
545,2022-03-14 14:47:55,customer,CUST_000089,,,843,shopping,inst_00089,browsing
547,2022-03-14 14:54:33,customer,CUST_000089,,,845,shopping,inst_00089,browsing
560,2022-03-15 22:13:34,customer,CUST_000028,,,863,shopping,inst_00096,browsing
563,2022-03-15 22:16:34,customer,CUST_000028,,,866,shopping,inst_00096,considering
569,2022-03-15 20:08:27,customer,CUST_000090,,,872,shopping,inst_00090,browsing
574,2022-03-15 17:32:15,customer,CUST_000091,,,877,shopping,inst_00091,browsing
577,2022-03-15 17:35:15,customer,CUST_000091,,,880,shopping,inst_00091,browsing
579,2022-03-15 17:39:22,customer,CUST_000091,,,882,shopping,inst_00091,considering
584,2022-03-15 07:02:17,customer,CUST_000092,,,887,shopping,inst_00092,browsing
587,2022-03-15 07:05:30,customer,CUST_000092,,,890,shopping,inst_00092,browsing
590,2022-03-15 07:08:30,customer,CUST_000092,,,893,shopping,inst_00092,browsing
596,2022-03-15 19:09:20,customer,CUST_000094,,,899,shopping,inst_00094,browsing
604,2022-03-16 22:26:09,customer,CUST_000095,,,913,shopping,inst_00097,browsing
607,2022-03-16 09:26:59,customer,CUST_000096,,,916,shopping,inst_00098,browsing
610,2022-03-16 09:31:21,customer,CUST_000096,,,919,shopping,inst_00098,considering
613,2022-03-16 19:31:53,customer,CUST_000097,,,922,shopping,inst_00099,browsing
616,2022-03-16 19:37:12,customer,CUST_000097,,,925,shopping,inst_00099,browsing
620,2022-03-16 13:21:47,customer,CUST_000098,,,929,shopping,inst_00100,browsing
623,2022-03-16 13:24:47,customer,CUST_000098,,,932,shopping,inst_00100,browsing
626,2022-03-16 10:24:49,customer,CUST_000099,,,935,shopping,inst_00101,browsing
629,2022-03-16 10:28:21,customer,CUST_000099,,,938,shopping,inst_00101,considering
631,2022-03-16 19:23:35,customer,CUST_000100,,,940,shopping,inst_00102,browsing
639,2022-03-17 12:14:11,customer,CUST_000101,,,952,shopping,inst_00103,browsing
641,2022-03-17 12:17:11,customer,CUST_000101,,,954,shopping,inst_00103,browsing
642,2022-03-17 19:22:48,customer,CUST_000102,,,955,shopping,inst_00104,considering
646,2022-03-17 11:39:11,customer,CUST_000104,,,959,shopping,inst_00106,browsing
647,2022-03-17 11:42:19,customer,CUST_000104,,,960,shopping,inst_00106,considering
664,2022-03-18 19:15:12,customer,CUST_000106,,,986,shopping,inst_00108,considering
669,2022-03-18 19:31:38,customer,CUST_000107,,,991,shopping,inst_00109,browsing
671,2022-03-18 19:34:38,customer,CUST_000107,,,993,shopping,inst_00109,browsing
675,2022-03-18 06:58:31,customer,CUST_000108,,,997,shopping,inst_00110,considering
680,2022-03-18 09:32:05,customer,CUST_000109,,,1002,shopping,inst_00111,considering
681,2022-03-18 09:37:05,customer,CUST_000109,,,1003,shopping,inst_00111,checkout
683,2022-03-18 09:39:05,customer,CUST_000109,,,1005,shopping,inst_00111,purchased
686,2022-03-18 11:22:09,customer,CUST_000110,,,1008,shopping,inst_00112,browsing
688,2022-03-18 11:27:22,customer,CUST_000110,,,1010,shopping,inst_00112,browsing
693,2022-03-18 20:22:32,customer,CUST_000111,,,1015,shopping,inst_00113,browsing
696,2022-03-18 20:25:32,customer,CUST_000111,,,1018,shopping,inst_00113,browsing
712,2022-03-19 10:39:39,customer,CUST_000115,,,1039,shopping,inst_00118,browsing
717,2022-03-19 09:33:39,customer,CUST_000116,,,1044,shopping,inst_00119,browsing
720,2022-03-19 09:36:39,customer,CUST_000116,,,1047,shopping,inst_00119,browsing
723,2022-03-19 09:39:39,customer,CUST_000116,,,1050,shopping,inst_00119,browsing
726,2022-03-19 09:42:39,customer,CUST_000116,,,1053,shopping,inst_00119,browsing
732,2022-03-19 11:26:26,customer,CUST_000118,,,1059,shopping,inst_00121,browsing
743,2022-03-20 18:03:30,customer,CUST_000028,,,1077,shopping,inst_00130,browsing
746,2022-03-20 18:11:31,customer,CUST_000028,,,1080,shopping,inst_00130,considering
749,2022-03-20 18:37:44,customer,CUST_000028,,,1083,shopping,inst_00130,checkout
751,2022-03-20 18:41:28,customer,CUST_000028,,,1086,shopping,inst_00130,purchased
754,2022-03-20 18:04:59,customer,CUST_000119,,,1089,shopping,inst_00123,considering
756,2022-03-20 18:45:18,customer,CUST_000120,,,1091,shopping,inst_00124,browsing
758,2022-03-20 18:48:18,customer,CUST_000120,,,1093,shopping,inst_00124,browsing
760,2022-03-20 19:00:49,customer,CUST_000120,,,1095,shopping,inst_00124,considering
763,2022-03-20 13:30:37,customer,CUST_000121,,,1098,shopping,inst_00125,browsing
765,2022-03-20 13:33:37,customer,CUST_000121,,,1100,shopping,inst_00125,browsing
770,2022-03-20 12:38:39,customer,CUST_000122,,,1105,shopping,inst_00126,considering
772,2022-03-20 12:43:49,customer,CUST_000122,,,1107,shopping,inst_00126,checkout
775,2022-03-20 12:46:24,customer,CUST_000122,,,1111,shopping,inst_00126,purchased
780,2022-03-20 21:11:03,customer,CUST_000124,,,1116,shopping,inst_00128,browsing
782,2022-03-20 21:14:03,customer,CUST_000124,,,1118,shopping,inst_00128,browsing
785,2022-03-20 21:17:03,customer,CUST_000124,,,1121,shopping,inst_00128,browsing
788,2022-03-20 21:20:03,customer,CUST_000124,,,1124,shopping,inst_00128,browsing
791,2022-03-20 21:26:51,customer,CUST_000124,,,1127,shopping,inst_00128,considering
795,2022-03-20 21:32:08,customer,CUST_000124,,,1131,shopping,inst_00128,checkout
802,2022-03-20 18:26:17,customer,CUST_000125,,,1139,shopping,inst_00129,considering
806,2022-03-20 18:35:57,customer,CUST_000125,,,1143,shopping,inst_00129,checkout
809,2022-03-20 18:41:53,customer,CUST_000125,,,1147,shopping,inst_00129,purchased
819,2022-03-21 18:24:36,customer,CUST_000016,,,1163,shopping,inst_00137,browsing
820,2022-03-21 18:28:23,customer,CUST_000016,,,1164,shopping,inst_00137,browsing
822,2022-03-21 18:31:23,customer,CUST_000016,,,1166,shopping,inst_00137,browsing
825,2022-03-21 18:34:23,customer,CUST_000016,,,1169,shopping,inst_00137,browsing
827,2022-03-21 18:37:23,customer,CUST_000016,,,1171,shopping,inst_00137,browsing
831,2022-03-21 13:09:02,customer,CUST_000127,,,1175,shopping,inst_00132,considering
834,2022-03-21 17:01:42,customer,CUST_000128,,,1178,shopping,inst_00133,browsing
836,2022-03-21 17:04:42,customer,CUST_000128,,,1180,shopping,inst_00133,browsing
839,2022-03-21 17:09:11,customer,CUST_000128,,,1183,shopping,inst_00133,browsing
840,2022-03-21 17:24:13,customer,CUST_000128,,,1184,shopping,inst_00133,considering
841,2022-03-21 17:29:13,customer,CUST_000128,,,1185,shopping,inst_00133,checkout
842,2022-03-21 17:32:15,customer,CUST_000128,,,1186,shopping,inst_00133,purchased
845,2022-03-21 11:07:19,customer,CUST_000129,,,1189,shopping,inst_00134,considering
848,2022-03-21 18:36:12,customer,CUST_000130,,,1192,shopping,inst_00135,browsing
850,2022-03-21 18:39:34,customer,CUST_000130,,,1194,shopping,inst_00135,browsing
852,2022-03-21 18:42:34,customer,CUST_000130,,,1196,shopping,inst_00135,browsing
855,2022-03-21 18:48:57,customer,CUST_000130,,,1199,shopping,inst_00135,browsing
858,2022-03-21 18:51:57,customer,CUST_000130,,,1202,shopping,inst_00135,browsing
859,2022-03-21 18:54:57,customer,CUST_000130,,,1203,shopping,inst_00135,browsing
875,2022-03-22 11:24:07,customer,CUST_000132,,,1229,shopping,inst_00138,browsing
876,2022-03-22 12:22:11,customer,CUST_000132,,,1230,shopping,inst_00138,considering
880,2022-03-22 22:20:01,customer,CUST_000133,,,1234,shopping,inst_00139,considering
884,2022-03-22 22:56:53,customer,CUST_000135,,,1238,shopping,inst_00141,browsing
887,2022-03-22 22:59:53,customer,CUST_000135,,,1241,shopping,inst_00141,browsing
888,2022-03-23 06:02:53,customer,CUST_000135,,,1242,shopping,inst_00141,browsing
889,2022-03-23 06:05:53,customer,CUST_000135,,,1243,shopping,inst_00141,browsing
891,2022-03-23 06:46:33,customer,CUST_000135,,,1245,shopping,inst_00141,considering
892,2022-03-23 06:53:08,customer,CUST_000135,,,1246,shopping,inst_00141,checkout
896,2022-03-23 06:55:08,customer,CUST_000135,,,1251,shopping,inst_00141,purchased
898,2022-03-22 18:36:13,customer,CUST_000136,,,1253,shopping,inst_00142,browsing
900,2022-03-22 18:43:51,customer,CUST_000136,,,1255,shopping,inst_00142,browsing
904,2022-03-22 12:34:21,customer,CUST_000137,,,1259,shopping,inst_00143,browsing
909,2022-03-22 20:44:58,customer,CUST_000139,,,1264,shopping,inst_00145,browsing
914,2022-03-22 13:02:28,customer,CUST_000140,,,1269,shopping,inst_00146,considering
919,2022-03-22 07:34:37,customer,CUST_000141,,,1274,shopping,inst_00147,considering
930,2022-03-24 12:19:39,customer,CUST_000016,,,1292,shopping,inst_00155,considering
936,2022-03-24 22:11:26,customer,CUST_000144,,,1298,shopping,inst_00150,considering
940,2022-03-24 22:22:49,customer,CUST_000144,,,1302,shopping,inst_00150,checkout
943,2022-03-24 22:29:01,customer,CUST_000144,,,1306,shopping,inst_00150,purchased
945,2022-03-24 15:53:02,customer,CUST_000145,,,1308,shopping,inst_00151,browsing
947,2022-03-24 09:34:45,customer,CUST_000146,,,1310,shopping,inst_00152,browsing
951,2022-03-24 16:04:09,customer,CUST_000147,,,1314,shopping,inst_00153,browsing
954,2022-03-24 16:07:38,customer,CUST_000147,,,1317,shopping,inst_00153,browsing
956,2022-03-24 16:10:51,customer,CUST_000147,,,1319,shopping,inst_00153,considering
967,2022-03-25 19:55:14,customer,CUST_000058,,,1334,shopping,inst_00160,browsing
969,2022-03-25 19:58:14,customer,CUST_000058,,,1336,shopping,inst_00160,browsing
972,2022-03-25 20:01:14,customer,CUST_000058,,,1339,shopping,inst_00160,browsing
975,2022-03-25 16:24:40,customer,CUST_000149,,,1342,shopping,inst_00156,browsing
978,2022-03-25 16:27:40,customer,CUST_000149,,,1345,shopping,inst_00156,browsing
980,2022-03-25 16:30:40,customer,CUST_000149,,,1347,shopping,inst_00156,browsing
984,2022-03-25 10:11:47,customer,CUST_000150,,,1351,shopping,inst_00157,browsing
987,2022-03-25 10:14:47,customer,CUST_000150,,,1354,shopping,inst_00157,browsing
989,2022-03-25 17:44:20,customer,CUST_000151,,,1356,shopping,inst_00158,browsing
991,2022-03-25 13:13:19,customer,CUST_000152,,,1358,shopping,inst_00159,browsing
993,2022-03-25 13:16:19,customer,CUST_000152,,,1360,shopping,inst_00159,browsing
1004,2022-03-26 19:21:14,customer,CUST_000016,,,1378,shopping,inst_00168,considering
1005,2022-03-26 19:32:03,customer,CUST_000016,,,1379,shopping,inst_00168,checkout
1006,2022-03-26 19:45:54,customer,CUST_000016,,,1380,shopping,inst_00168,purchased
1010,2022-03-26 21:44:12,customer,CUST_000153,,,1384,shopping,inst_00161,browsing
1012,2022-03-26 21:47:12,customer,CUST_000153,,,1386,shopping,inst_00161,considering
1013,2022-03-26 21:56:10,customer,CUST_000153,,,1387,shopping,inst_00161,checkout
1017,2022-03-26 10:58:38,customer,CUST_000154,,,1392,shopping,inst_00162,browsing
1020,2022-03-26 11:01:38,customer,CUST_000154,,,1395,shopping,inst_00162,browsing
1023,2022-03-26 11:04:38,customer,CUST_000154,,,1398,shopping,inst_00162,browsing
1026,2022-03-26 11:07:38,customer,CUST_000154,,,1401,shopping,inst_00162,browsing
1029,2022-03-26 11:10:38,customer,CUST_000154,,,1404,shopping,inst_00162,browsing
1032,2022-03-26 11:13:38,customer,CUST_000154,,,1407,shopping,inst_00162,browsing
1034,2022-03-26 11:16:38,customer,CUST_000154,,,1409,shopping,inst_00162,browsing
1036,2022-03-26 11:26:14,customer,CUST_000154,,,1411,shopping,inst_00162,browsing
1041,2022-03-26 11:36:25,customer,CUST_000155,,,1416,shopping,inst_00163,browsing
1043,2022-03-26 11:39:25,customer,CUST_000155,,,1418,shopping,inst_00163,browsing
1045,2022-03-26 11:42:49,customer,CUST_000155,,,1420,shopping,inst_00163,browsing
1047,2022-03-26 11:52:00,customer,CUST_000155,,,1422,shopping,inst_00163,browsing
1050,2022-03-26 11:55:00,customer,CUST_000155,,,1425,shopping,inst_00163,browsing
1052,2022-03-26 11:58:00,customer,CUST_000155,,,1427,shopping,inst_00163,browsing
1056,2022-03-26 19:52:05,customer,CUST_000156,,,1431,shopping,inst_00164,browsing
1059,2022-03-26 19:55:05,customer,CUST_000156,,,1434,shopping,inst_00164,browsing
1062,2022-03-26 19:58:05,customer,CUST_000156,,,1437,shopping,inst_00164,browsing
1066,2022-03-26 13:03:51,customer,CUST_000157,,,1441,shopping,inst_00165,browsing
1068,2022-03-26 13:06:51,customer,CUST_000157,,,1443,shopping,inst_00165,browsing
1071,2022-03-26 13:09:51,customer,CUST_000157,,,1446,shopping,inst_00165,browsing
1075,2022-03-26 21:53:32,customer,CUST_000158,,,1450,shopping,inst_00166,browsing
1088,2022-03-27 17:02:52,customer,CUST_000058,,,1469,shopping,inst_00175,browsing
1091,2022-03-27 10:24:09,customer,CUST_000160,,,1472,shopping,inst_00169,browsing
1094,2022-03-27 12:50:53,customer,CUST_000162,,,1475,shopping,inst_00171,browsing
1101,2022-03-27 11:39:52,customer,CUST_000164,,,1482,shopping,inst_00173,considering
1102,2022-03-27 11:44:52,customer,CUST_000164,,,1483,shopping,inst_00173,checkout
1105,2022-03-27 11:55:23,customer,CUST_000164,,,1487,shopping,inst_00173,purchased
1115,2022-03-28 19:45:11,customer,CUST_000166,,,1503,shopping,inst_00176,considering
1118,2022-03-28 09:20:50,customer,CUST_000167,,,1506,shopping,inst_00177,browsing
1121,2022-03-28 09:23:50,customer,CUST_000167,,,1509,shopping,inst_00177,browsing
1123,2022-03-28 09:26:50,customer,CUST_000167,,,1511,shopping,inst_00177,browsing
1125,2022-03-28 09:29:50,customer,CUST_000167,,,1513,shopping,inst_00177,browsing
1128,2022-03-28 09:35:10,customer,CUST_000167,,,1516,shopping,inst_00177,browsing
1130,2022-03-28 09:38:54,customer,CUST_000167,,,1518,shopping,inst_00177,browsing
1133,2022-03-28 17:51:17,customer,CUST_000168,,,1521,shopping,inst_00178,browsing
1137,2022-03-28 12:33:21,customer,CUST_000169,,,1525,shopping,inst_00179,considering
1141,2022-03-28 07:25:54,customer,CUST_000170,,,1529,shopping,inst_00180,browsing
1144,2022-03-28 07:28:54,customer,CUST_000170,,,1532,shopping,inst_00180,browsing
1147,2022-03-28 07:35:34,customer,CUST_000170,,,1535,shopping,inst_00180,considering
1149,2022-03-28 07:40:34,customer,CUST_000170,,,1537,shopping,inst_00180,checkout
1154,2022-03-28 07:52:12,customer,CUST_000170,,,1543,shopping,inst_00180,purchased
1162,2022-03-29 11:03:03,customer,CUST_000058,,,1555,shopping,inst_00186,browsing
1167,2022-03-29 20:39:23,customer,CUST_000172,,,1560,shopping,inst_00182,browsing
1169,2022-03-29 20:42:23,customer,CUST_000172,,,1562,shopping,inst_00182,browsing
1176,2022-03-29 09:12:21,customer,CUST_000174,,,1569,shopping,inst_00184,browsing
1179,2022-03-29 09:16:01,customer,CUST_000174,,,1572,shopping,inst_00184,considering
1181,2022-03-29 14:36:55,customer,CUST_000175,,,1574,shopping,inst_00185,considering
1189,2022-03-30 20:31:51,customer,CUST_000177,,,1586,shopping,inst_00188,considering
1190,2022-03-30 20:36:51,customer,CUST_000177,,,1587,shopping,inst_00188,checkout
